"행정구역","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~9세","2025년_계_10~19세","2025년_계_20~29세","2025년_계_30~39세","2025년_계_40~49세","2025년_계_50~59세","2025년_계_60~69세","2025년_계_70~79세","2025년_계_80~89세","2025년_계_90~99세","2025년_계_100세 이상"
"대구광역시 중구 (2711000000)","101,007","101,007","8,203","7,486","13,487","18,227","14,930","14,204","11,491","8,034","4,260","667","18"
"대구광역시 동구 (2714000000)","339,281","339,281","19,217","25,913","33,846","44,269","46,715","56,111","56,508","36,985","17,195","2,473","49"
"대구광역시 서구 (2717000000)","163,956","163,956","6,887","9,729","14,674","19,694","19,507","28,685","33,579","20,882","9,100","1,197","22"
"대구광역시 남구 (2720000000)","135,542","135,542","5,093","8,045","15,892","16,559","16,598","22,628","23,733","16,950","8,592","1,425","27"
"대구광역시 북구 (2723000000)","409,854","409,854","22,000","37,573","50,746","48,349","57,050","76,546","64,516","34,665","16,022","2,339","48"
"대구광역시 수성구 (2726000000)","409,222","409,222","24,435","47,379","42,854","42,486","63,180","74,167","59,513","35,372","16,875","2,912","49"
"대구광역시 달서구 (2729000000)","517,059","517,059","27,436","48,790","58,822","61,128","72,478","94,831","86,489","45,474","18,764","2,799","48"
"대구광역시 달성군 (2771000000)","254,659","254,659","20,598","27,174","22,224","33,257","43,760","41,473","37,781","19,343","7,742","1,281","26"
"대구광역시 군위군 (2772000000)","22,452","22,452","445","817","904","1,132","1,637","3,514","6,267","4,489","2,710","533","4"
"인천광역시  (2800000000)","3,051,961","3,051,961","189,273","275,968","338,166","431,527","474,182","515,390","473,360","234,027","101,412","18,107","549"
"인천광역시 중구 (2811000000)","176,467","176,467","12,799","15,957","21,818","29,243","29,509","27,039","21,398","12,428","5,345","901","30"
"인천광역시 중구영종출장소 (2811400000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 동구 (2814000000)","56,477","56,477","2,308","4,176","5,256","6,147","7,925","9,591","9,961","7,104","3,459","536","14"
"인천광역시 미추홀구 (2817700000)","417,578","417,578","23,167","32,315","49,101","58,650","62,595","68,730","65,037","37,837","17,280","2,796","70"
"인천광역시 연수구 (2818500000)","409,437","409,437","32,670","47,542","45,387","57,046","71,050","68,177","54,450","22,006","9,171","1,874","64"
"인천광역시 남동구 (2820000000)","480,147","480,147","23,616","44,437","53,994","60,729","73,012","84,538","79,248","40,693","16,949","2,840","91"
"인천광역시 부평구 (2823700000)","490,442","490,442","26,208","38,181","54,797","74,027","70,581","83,649","81,554","40,638","17,620","3,109","78"
"인천광역시 계양구 (2824500000)","277,721","277,721","11,886","21,366","31,632","37,223","37,407","52,552","53,414","21,237","9,218","1,718","68"
"인천광역시 서구 (2826000000)","654,358","654,358","53,555","66,877","69,854","101,959","113,276","107,294","86,785","37,456","14,540","2,668","94"
"인천광역시 서구검단출장소 (2826500000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 강화군 (2871000000)","69,698","69,698","2,538","4,245","4,144","4,861","6,923","10,725","16,735","11,651","6,497","1,354","25"
"인천광역시 옹진군 (2872000000)","19,636","19,636","526","872","2,183","1,642","1,904","3,095","4,778","2,977","1,333","311","15"
"광주광역시  (2900000000)","1,392,013","1,392,013","86,156","144,022","170,562","173,650","212,971","240,691","194,014","110,125","51,329","8,307","186"
"광주광역시 동구 (2911000000)","104,888","104,888","6,587","7,633","13,401","14,230","14,059","15,475","15,401","11,173","6,014","899","16"
"광주광역시 서구 (2914000000)","275,063","275,063","14,619","26,625","35,696","33,731","40,505","49,394","39,655","22,725","10,375","1,698","40"
"광주광역시 남구 (2915500000)","207,596","207,596","12,728","23,073","21,564","23,056","32,342","32,796","30,501","20,393","9,532","1,565","46"
"광주광역시 북구 (2917000000)","416,862","416,862","25,645","39,409","49,492","53,017","61,303","70,899","62,898","35,575","16,018","2,558","48"
"광주광역시 광산구 (2920000000)","387,604","387,604","26,577","47,282","50,409","49,616","64,762","72,127","45,559","20,259","9,390","1,587","36"
"대전광역시  (3000000000)","1,440,729","1,440,729","86,776","135,747","187,702","194,991","209,116","242,187","208,677","115,183","51,386","8,752","212"
"대전광역시 동구 (3011000000)","218,664","218,664","11,129","18,350","27,959","25,397","29,307","36,231","35,276","22,499","10,824","1,654","38"
"대전광역시 중구 (3014000000)","225,645","225,645","11,812","19,627","25,108","26,361","31,098","38,579","35,552","23,882","11,666","1,911","49"
"대전광역시 서구 (3017000000)","463,351","463,351","27,716","46,072","63,470","65,423","69,313","76,974","63,731","33,913","14,199","2,486","54"
"대전광역시 유성구 (3020000000)","367,534","367,534","28,491","38,342","52,274","58,271","58,067","58,674","44,366","19,574","7,847","1,586","42"
"대전광역시 대덕구 (3023000000)","165,535","165,535","7,628","13,356","18,891","19,539","21,331","31,729","29,752","15,315","6,850","1,115","29"
"울산광역시  (3100000000)","1,091,948","1,091,948","67,470","109,694","110,774","136,897","169,091","198,246","179,413","85,901","29,927","4,435","100"
"울산광역시 중구 (3111000000)","204,169","204,169","11,656","18,902","19,086","24,604","29,702","36,535","36,386","19,387","7,051","845","15"
"울산광역시 남구 (3114000000)","304,128","304,128","17,660","27,941","34,457","41,867","44,616","56,157","49,289","23,493","7,594","1,026","28"
"울산광역시 동구 (3117000000)","149,257","149,257","9,104","16,432","14,296","17,163","26,084","24,229","25,077","12,853","3,551","452","16"
"울산광역시 북구 (3120000000)","215,220","215,220","17,182","25,562","21,429","29,482","37,841","38,113","29,871","11,095","3,983","648","14"
"울산광역시 울주군 (3171000000)","219,174","219,174","11,868","20,857","21,506","23,781","30,848","43,212","38,790","19,073","7,748","1,464","27"
"세종특별자치시  (3600000000)","391,965","391,965","38,680","54,143","36,463","57,808","76,443","59,127","39,512","19,635","8,321","1,796","37"
"세종특별자치시  (3611000000)","391,965","391,965","38,680","54,143","36,463","57,808","76,443","59,127","39,512","19,635","8,321","1,796","37"
"경기도  (4100000000)","13,730,135","13,730,135","889,965","1,326,501","1,557,604","1,925,447","2,183,467","2,355,969","1,967,747","988,210","454,565","78,621","2,039"
"북부출장소  (4110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 수원시 (4111000000)","1,186,515","1,186,515","72,648","110,857","162,003","187,775","184,743","200,256","157,577","72,725","32,298","5,473","160"
"경기도 수원시 장안구 (4111100000)","271,136","271,136","13,737","25,141","37,887","35,505","38,475","49,495","40,101","19,450","9,607","1,692","46"
"경기도 수원시 권선구 (4111300000)","361,064","361,064","21,260","31,828","45,064","57,580","56,326","61,204","52,702","23,739","9,679","1,636","46"
"경기도 수원시 팔달구 (4111500000)","191,822","191,822","10,421","13,023","27,888","32,147","26,567","31,741","27,524","14,762","6,697","1,018","34"
"경기도 수원시 영통구 (4111700000)","362,493","362,493","27,230","40,865","51,164","62,543","63,375","57,816","37,250","14,774","6,315","1,127","34"
"경기도 성남시 (4113000000)","905,794","905,794","54,161","81,235","105,471","134,428","140,924","150,686","130,341","71,163","31,691","5,539","155"
"경기도 성남시 수정구 (4113100000)","232,389","232,389","12,697","15,957","27,985","35,542","33,826","38,200","37,281","21,219","8,430","1,225","27"
"경기도 성남시 중원구 (4113300000)","203,572","203,572","10,294","13,965","23,782","31,246","29,003","33,749","34,159","18,650","7,639","1,042","43"
"경기도 성남시 분당구 (4113500000)","469,833","469,833","31,170","51,313","53,704","67,640","78,095","78,737","58,901","31,294","15,622","3,272","85"
"경기도 의정부시 (4115000000)","461,572","461,572","26,925","39,692","53,671","60,818","67,748","81,759","71,377","38,104","18,571","2,844","63"
"경기도 안양시 (4117000000)","563,279","563,279","35,164","49,178","64,107","86,692","83,155","94,374","86,750","42,740","17,790","3,258","71"
"경기도 안양시 만안구 (4117100000)","233,749","233,749","12,530","16,242","26,885","35,063","31,465","39,354","40,413","21,266","8,995","1,500","36"
"경기도 안양시 동안구 (4117300000)","329,530","329,530","22,634","32,936","37,222","51,629","51,690","55,020","46,337","21,474","8,795","1,758","35"
"경기도 부천시 (4119000000)","758,796","758,796","38,729","61,981","85,447","104,203","111,370","132,666","132,334","62,856","24,779","4,314","117"
"경기도 부천시 원미구 (4119200000)","384,561","384,561","19,765","31,840","45,566","55,327","56,943","66,602","65,243","29,735","11,385","2,096","59"
"경기도 부천시 소사구 (4119400000)","225,458","225,458","13,426","19,480","22,687","30,318","35,309","36,947","38,002","20,169","7,751","1,331","38"
"경기도 부천시 오정구 (4119600000)","148,777","148,777","5,538","10,661","17,194","18,558","19,118","29,117","29,089","12,952","5,643","887","20"
"경기도 광명시 (4121000000)","293,947","293,947","18,123","27,910","32,694","42,135","45,740","50,523","43,096","22,937","9,174","1,568","47"
"경기도 평택시 (4122000000)","610,402","610,402","46,546","58,656","72,293","99,412","100,869","101,404","75,370","35,549","17,342","2,895","66"
"경기도 송탄출장소 (4122200000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 안중출장소 (4122400000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 동두천시 (4125000000)","86,438","86,438","3,584","7,403","8,525","8,350","11,196","15,765","15,554","9,604","5,598","841","18"
"경기도 안산시 (4127000000)","612,508","612,508","29,640","52,365","82,432","83,016","85,159","120,485","100,033","38,548","17,409","3,308","113"
"경기도 안산시 상록구 (4127100000)","322,739","322,739","14,202","28,026","44,494","40,940","44,269","64,849","53,145","20,779","10,102","1,868","65"
"경기도 안산시 단원구 (4127300000)","289,769","289,769","15,438","24,339","37,938","42,076","40,890","55,636","46,888","17,769","7,307","1,440","48"
"경기도 고양시 (4128000000)","1,060,081","1,060,081","61,603","95,872","119,983","144,328","158,007","194,376","161,410","75,350","41,245","7,733","174"
"경기도 고양시 덕양구 (4128100000)","485,546","485,546","31,133","40,706","51,631","70,940","74,494","84,048","73,221","36,796","19,205","3,293","79"
"경기도 고양시 일산동구 (4128500000)","296,758","296,758","16,197","26,851","35,676","40,560","43,687","55,640","45,276","19,664","10,830","2,330","47"
"경기도 고양시 일산서구 (4128700000)","277,777","277,777","14,273","28,315","32,676","32,828","39,826","54,688","42,913","18,890","11,210","2,110","48"
"경기도 과천시 (4129000000)","79,908","79,908","8,165","8,168","8,117","12,158","12,884","11,904","10,608","4,960","2,378","550","16"
"경기도 구리시 (4131000000)","186,090","186,090","10,110","16,297","21,323","25,159","28,087","33,444","29,835","14,515","6,382","916","22"
"경기도 남양주시 (4136000000)","729,754","729,754","46,368","78,800","76,830","84,385","120,052","130,266","104,045","58,194","26,532","4,170","112"
"경기도 풍양출장소 (4136200000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 오산시 (4137000000)","249,410","249,410","17,987","27,011","28,713","40,285","46,549","40,927","28,223","13,050","5,796","850","19"
"경기도 시흥시 (4139000000)","515,032","515,032","38,137","52,141","57,658","74,274","89,256","92,440","69,973","27,192","11,832","2,071","58"
"경기도 군포시 (4141000000)","251,367","251,367","12,349","22,309","29,914","34,264","35,495","45,161","41,454","19,344","9,170","1,865","42"
"경기도 의왕시 (4143000000)","160,370","160,370","11,082","13,279","17,663","24,323","22,345","26,838","26,370","12,290","5,134","1,014","32"
"경기도 하남시 (4145000000)","327,939","327,939","26,442","33,650","33,111","49,121","59,889","49,567","42,524","23,920","8,313","1,359","43"
"경기도 용인시 (4146000000)","1,091,186","1,091,186","72,561","120,967","127,343","137,917","181,259","192,022","133,792","78,991","39,729","6,448","157"
"경기도 용인시 처인구 (4146100000)","282,044","282,044","17,792","26,152","32,114","37,303","44,375","49,066","42,215","21,649","9,598","1,742","38"
"경기도 용인시 기흥구 (4146300000)","435,048","435,048","27,178","48,864","53,221","52,380","70,953","79,797","52,030","31,367","16,469","2,712","77"
"경기도 용인시 수지구 (4146500000)","374,094","374,094","27,591","45,951","42,008","48,234","65,931","63,159","39,547","25,975","13,662","1,994","42"
"경기도 파주시 (4148000000)","526,005","526,005","38,384","55,353","54,657","73,471","87,496","88,652","69,348","35,975","19,283","3,311","75"
"경기도 이천시 (4150000000)","222,967","222,967","13,584","21,517","26,598","31,190","33,594","36,798","33,573","16,710","7,922","1,442","39"
"경기도 안성시 (4155000000)","196,592","196,592","10,447","17,531","21,814","23,570","29,058","33,967","32,042","17,692","8,807","1,626","38"
"경기도 김포시 (4157000000)","484,792","484,792","37,812","56,081","46,337","62,571","91,533","76,396","61,768","34,899","14,884","2,451","60"
"경기도 화성시 (4159000000)","989,969","989,969","89,239","117,509","109,052","164,342","186,620","150,987","102,792","46,374","19,427","3,552","75"
"경기도 화성시동부출장소 (4159200000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 화성시동탄출장소 (4159400000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 광주시 (4161000000)","397,346","397,346","26,638","36,297","38,390","51,721","67,288","69,921","61,620","31,274","12,247","1,889","61"
"경기도 양주시 (4163000000)","296,224","296,224","22,635","28,936","30,973","40,316","46,649","50,047","41,526","22,553","10,703","1,841","45"
"경기도 포천시 (4165000000)","140,452","140,452","5,634","9,816","14,063","13,813","15,641","26,112","30,744","15,203","7,901","1,474","51"
"경기도 여주시 (4167000000)","114,002","114,002","5,282","8,962","9,909","11,380","14,606","19,981","22,744","13,469","6,454","1,185","30"
"경기도 연천군 (4180000000)","42,340","42,340","1,871","2,735","4,278","4,135","4,183","6,474","9,069","5,714","3,278","587","16"
"경기도 가평군 (4182000000)","62,125","62,125","2,485","4,074","5,267","5,390","6,789","10,487","13,881","8,657","4,340","725","30"
"경기도 양평군 (4183000000)","126,933","126,933","5,630","9,919","8,968","10,505","15,283","21,284","27,974","17,658","8,156","1,522","34"
"강원특별자치도  (5100000000)","1,508,500","1,508,500","80,673","125,351","148,129","158,676","194,973","257,290","280,348","159,978","87,800","14,847","435"
"동해출장소  (5110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원특별자치도 춘천시 (5111000000)","285,234","285,234","17,234","25,593","34,996","34,885","38,751","46,239","45,431","24,953","14,520","2,568","64"
"강원특별자치도 원주시 (5113000000)","363,194","363,194","23,605","34,444","38,563","47,028","53,693","62,335","58,061","27,980","14,780","2,645","60"
"강원특별자치도 강릉시 (5115000000)","206,237","206,237","10,151","16,620","20,130","20,541","27,149","36,413","37,384","23,167","12,438","2,185","59"
"강원특별자치도 동해시 (5117000000)","86,333","86,333","4,652","7,885","7,588","8,076","11,893","15,953","15,193","9,526","4,823","726","18"
"강원특별자치도 태백시 (5119000000)","37,088","37,088","1,464","3,226","2,622","2,696","4,849","6,681","7,362","5,279","2,574","323","12"
"강원특별자치도 속초시 (5121000000)","79,636","79,636","4,215","6,623","6,895","8,627","10,751","14,438","15,044","8,355","4,010","656","22"
"강원특별자치도 삼척시 (5123000000)","60,518","60,518","2,721","4,501","5,878","4,674","6,864","10,538","12,161","7,820","4,481","855","25"
"강원특별자치도 홍천군 (5172000000)","66,109","66,109","2,773","4,338","4,872","5,438","6,735","10,731","16,136","9,187","4,931","937","31"
"강원특별자치도 횡성군 (5173000000)","45,627","45,627","1,558","3,232","2,823","2,798","4,239","7,471","12,065","6,967","3,793","663","18"
"강원특별자치도 영월군 (5175000000)","36,054","36,054","1,185","2,395","2,407","2,282","3,589","6,295","8,840","5,484","3,079","488","10"
"강원특별자치도 평창군 (5176000000)","39,831","39,831","1,191","2,515","2,661","2,515","4,046","7,216","10,109","5,944","3,163","455","16"
"강원특별자치도 정선군 (5177000000)","34,879","34,879","1,066","2,125","2,353","2,277","3,983","6,563","8,403","5,008","2,684","390","27"
"강원특별자치도 철원군 (5178000000)","39,979","39,979","2,255","3,057","4,044","4,127","4,431","6,325","7,634","4,708","2,991","394","13"
"강원특별자치도 화천군 (5179000000)","22,371","22,371","1,193","1,603","2,742","2,409","2,216","3,348","4,447","2,494","1,637","265","17"
"강원특별자치도 양구군 (5180000000)","20,410","20,410","1,231","1,815","2,130","2,197","2,252","3,017","4,029","2,134","1,372","230","3"
"강원특별자치도 인제군 (5181000000)","30,863","30,863","1,918","2,141","3,356","3,713","3,686","4,596","6,189","3,123","1,821","306","14"
"강원특별자치도 고성군 (5182000000)","26,845","26,845","1,195","1,581","2,204","2,368","2,727","4,487","5,807","3,761","2,328","375","12"
"강원특별자치도 양양군 (5183000000)","27,292","27,292","1,066","1,657","1,865","2,025","3,119","4,644","6,053","4,088","2,375","386","14"
"충청북도  (4300000000)","1,596,502","1,596,502","93,256","143,242","166,917","193,236","221,812","271,167","269,755","147,206","75,788","13,806","317"
"충청북도 청주시 (4311000000)","856,152","856,152","58,255","84,383","102,477","122,872","130,425","142,182","120,904","60,755","28,694","5,098","107"
"충청북도 청주시 상당구 (4311100000)","194,551","194,551","12,917","19,718","20,070","23,893","28,857","33,725","30,394","15,844","7,752","1,357","24"
"충청북도 청주시 서원구 (4311200000)","182,689","182,689","9,390","16,822","24,034","21,912","24,519","32,748","29,251","15,450","7,288","1,245","30"
"충청북도 청주시 흥덕구 (4311300000)","292,051","292,051","23,119","27,920","36,359","50,229","46,058","46,555","36,694","16,622","7,127","1,338","30"
"충청북도 청주시 청원구 (4311400000)","186,861","186,861","12,829","19,923","22,014","26,838","30,991","29,154","24,565","12,839","6,527","1,158","23"
"충청북도 충주시 (4313000000)","206,540","206,540","10,862","17,339","20,054","22,596","27,356","35,996","37,895","20,872","11,416","2,101","53"
"충청북도 제천시 (4315000000)","128,003","128,003","6,090","10,744","12,783","11,317","15,216","22,404","25,371","15,098","7,744","1,199","37"
"충청북도 보은군 (4372000000)","30,529","30,529","975","1,764","1,779","1,794","2,673","4,866","7,782","5,061","3,092","735","8"
"충청북도 옥천군 (4373000000)","49,601","49,601","1,684","3,520","3,612","3,326","5,245","8,572","11,309","7,450","3,994","870","19"
"충청북도 영동군 (4374000000)","43,032","43,032","1,328","2,721","2,942","2,602","3,837","7,377","10,351","6,974","4,160","723","17"
"충청북도 증평군 (4374500000)","36,680","36,680","2,248","3,332","3,632","4,505","5,197","6,211","6,125","3,381","1,733","311","5"
"충청북도 진천군 (4375000000)","86,580","86,580","5,774","8,667","7,636","10,778","13,964","14,750","13,573","6,883","3,779","762","14"
"충청북도 괴산군 (4376000000)","38,293","38,293","1,118","1,900","2,341","2,207","3,273","6,508","10,320","6,347","3,622","641","16"
"충청북도 음성군 (4377000000)","94,280","94,280","4,168","7,322","8,104","9,644","12,230","17,668","18,911","9,982","5,212","1,007","32"
"충청북도 단양군 (4380000000)","26,812","26,812","754","1,550","1,557","1,595","2,396","4,633","7,214","4,403","2,342","359","9"
"충청남도  (4400000000)","2,136,753","2,136,753","126,480","202,673","212,177","252,555","313,704","352,375","340,557","203,653","109,157","22,955","467"
"충청남도 천안시 (4413000000)","664,322","664,322","43,782","67,995","85,358","98,368","109,351","111,113","86,756","40,008","18,145","3,379","67"
"충청남도 천안시 동남구 (4413100000)","262,470","262,470","14,566","25,063","32,351","33,137","39,245","45,895","40,647","20,341","9,381","1,804","40"
"충청남도 천안시 서북구 (4413300000)","401,852","401,852","29,216","42,932","53,007","65,231","70,106","65,218","46,109","19,667","8,764","1,575","27"
"충청남도 공주시 (4415000000)","99,979","99,979","3,586","7,676","10,257","8,035","10,975","16,224","20,670","13,418","7,397","1,704","37"
"충청남도 보령시 (4418000000)","92,117","92,117","3,945","7,076","6,972","7,460","11,118","15,817","18,547","12,972","6,828","1,344","38"
"충청남도 아산시 (4420000000)","359,378","359,378","28,759","40,510","37,710","52,387","64,218","55,937","43,171","23,041","11,421","2,189","35"
"충청남도 서산시 (4421000000)","172,438","172,438","10,489","16,878","15,508","19,566","25,217","29,735","27,490","16,406","8,998","2,098","53"
"충청남도 논산시 (4423000000)","106,777","106,777","4,661","8,319","8,458","9,065","12,116","17,963","21,499","14,514","8,336","1,810","36"
"충청남도 계룡시 (4425000000)","45,846","45,846","3,192","6,086","4,403","5,246","7,834","8,307","6,149","3,071","1,270","282","6"
"충청남도 당진시 (4427000000)","172,564","172,564","11,446","17,082","14,013","20,509","27,673","28,867","26,908","15,628","8,617","1,784","37"
"충청남도 금산군 (4471000000)","48,898","48,898","1,544","3,933","3,126","2,941","4,903","8,390","11,072","7,664","4,443","867","15"
"충청남도 부여군 (4476000000)","58,377","58,377","1,651","3,833","3,634","3,449","5,402","9,078","13,477","10,056","6,302","1,458","37"
"충청남도 서천군 (4477000000)","47,225","47,225","1,401","2,797","2,853","2,770","4,331","7,433","10,512","8,596","5,301","1,215","16"
"충청남도 청양군 (4479000000)","29,986","29,986","821","1,842","2,256","1,757","2,568","4,664","7,124","4,983","3,206","758","7"
"충청남도 홍성군 (4480000000)","100,557","100,557","5,978","9,423","8,322","10,459","13,206","16,151","17,151","11,688","6,669","1,485","25"
"충청남도 예산군 (4481000000)","78,815","78,815","3,266","5,495","5,477","6,597","8,497","12,847","16,469","11,788","6,884","1,460","35"
"충청남도 태안군 (4482500000)","59,474","59,474","1,959","3,728","3,830","3,946","6,295","9,849","13,562","9,820","5,340","1,122","23"
"전북특별자치도  (5200000000)","1,724,856","1,724,856","88,058","159,659","172,187","172,921","227,201","298,093","291,376","191,585","103,074","20,255","447"
"전북특별자치도 전주시 (5211000000)","625,437","625,437","36,959","66,291","76,688","74,849","92,347","107,870","88,565","53,074","24,429","4,289","76"
"전북특별자치도 전주시 완산구 (5211100000)","316,419","316,419","16,185","31,236","39,181","36,556","43,838","56,415","48,377","29,160","13,001","2,424","46"
